url,occid,has_image
https://cch2.org/portal/collections/individual/index.php?occid=3042671,3042671,No image
https://cch2.org/portal/collections/individual/index.php?occid=3043848,3043848,No image
https://cch2.org/portal/collections/individual/index.php?occid=3044356,3044356,No image
https://cch2.org/portal/collections/individual/index.php?occid=3113068,3113068,No image
https://cch2.org/portal/collections/individual/index.php?occid=3113069,3113069,No image
https://cch2.org/portal/collections/individual/index.php?occid=3123760,3123760,No image
https://cch2.org/portal/collections/individual/index.php?occid=33390,33390,No image
https://cch2.org/portal/collections/individual/index.php?occid=3590297,3590297,No image
https://cch2.org/portal/collections/individual/index.php?occid=3611474,3611474,No image
https://cch2.org/portal/collections/individual/index.php?occid=3611826,3611826,No image
https://cch2.org/portal/collections/individual/index.php?occid=3611827,3611827,No image
https://cch2.org/portal/collections/individual/index.php?occid=3611977,3611977,No image
https://cch2.org/portal/collections/individual/index.php?occid=3611979,3611979,No image
https://cch2.org/portal/collections/individual/index.php?occid=3611980,3611980,No image
https://cch2.org/portal/collections/individual/index.php?occid=3611981,3611981,No image
https://cch2.org/portal/collections/individual/index.php?occid=3611982,3611982,No image
https://cch2.org/portal/collections/individual/index.php?occid=3611984,3611984,No image
https://cch2.org/portal/collections/individual/index.php?occid=3611985,3611985,No image
https://cch2.org/portal/collections/individual/index.php?occid=3611986,3611986,No image
https://cch2.org/portal/collections/individual/index.php?occid=3611987,3611987,No image
https://cch2.org/portal/collections/individual/index.php?occid=3611988,3611988,No image
https://cch2.org/portal/collections/individual/index.php?occid=3611990,3611990,No image
https://cch2.org/portal/collections/individual/index.php?occid=3611992,3611992,No image
https://cch2.org/portal/collections/individual/index.php?occid=3611993,3611993,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612015,3612015,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612017,3612017,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612018,3612018,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612020,3612020,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612021,3612021,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612022,3612022,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612024,3612024,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612025,3612025,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612026,3612026,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612027,3612027,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612028,3612028,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612033,3612033,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612035,3612035,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612036,3612036,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612202,3612202,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612238,3612238,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612391,3612391,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612398,3612398,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612415,3612415,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612416,3612416,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612417,3612417,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612756,3612756,No image
https://cch2.org/portal/collections/individual/index.php?occid=3612758,3612758,No image
https://cch2.org/portal/collections/individual/index.php?occid=3615443,3615443,No image
https://cch2.org/portal/collections/individual/index.php?occid=3617268,3617268,No image
https://cch2.org/portal/collections/individual/index.php?occid=3617348,3617348,No image
https://cch2.org/portal/collections/individual/index.php?occid=3618225,3618225,No image
https://cch2.org/portal/collections/individual/index.php?occid=3618669,3618669,No image
https://cch2.org/portal/collections/individual/index.php?occid=3618936,3618936,No image
https://cch2.org/portal/collections/individual/index.php?occid=3620050,3620050,No image
https://cch2.org/portal/collections/individual/index.php?occid=3621576,3621576,No image
https://cch2.org/portal/collections/individual/index.php?occid=3656309,3656309,No image
https://cch2.org/portal/collections/individual/index.php?occid=36646,36646,No image
https://cch2.org/portal/collections/individual/index.php?occid=3700295,3700295,No image
https://cch2.org/portal/collections/individual/index.php?occid=3700297,3700297,No image
https://cch2.org/portal/collections/individual/index.php?occid=3700298,3700298,No image
https://cch2.org/portal/collections/individual/index.php?occid=3810276,3810276,Image present
https://cch2.org/portal/collections/individual/index.php?occid=3810277,3810277,Image present
https://cch2.org/portal/collections/individual/index.php?occid=3810278,3810278,Image present
https://cch2.org/portal/collections/individual/index.php?occid=3826742,3826742,No image
https://cch2.org/portal/collections/individual/index.php?occid=3826803,3826803,No image
https://cch2.org/portal/collections/individual/index.php?occid=3826866,3826866,No image
https://cch2.org/portal/collections/individual/index.php?occid=3826872,3826872,No image
https://cch2.org/portal/collections/individual/index.php?occid=3826916,3826916,No image
https://cch2.org/portal/collections/individual/index.php?occid=3826971,3826971,No image
https://cch2.org/portal/collections/individual/index.php?occid=3827001,3827001,No image
https://cch2.org/portal/collections/individual/index.php?occid=3827041,3827041,No image
https://cch2.org/portal/collections/individual/index.php?occid=3827089,3827089,No image
https://cch2.org/portal/collections/individual/index.php?occid=3948469,3948469,Image present
https://cch2.org/portal/collections/individual/index.php?occid=3948470,3948470,Image present
https://cch2.org/portal/collections/individual/index.php?occid=3949199,3949199,No image
https://cch2.org/portal/collections/individual/index.php?occid=3949203,3949203,No image
https://cch2.org/portal/collections/individual/index.php?occid=4068227,4068227,No image
https://cch2.org/portal/collections/individual/index.php?occid=4068228,4068228,No image
https://cch2.org/portal/collections/individual/index.php?occid=4072307,4072307,No image
https://cch2.org/portal/collections/individual/index.php?occid=407313,407313,No image
https://cch2.org/portal/collections/individual/index.php?occid=4074850,4074850,No image
https://cch2.org/portal/collections/individual/index.php?occid=4074851,4074851,No image
https://cch2.org/portal/collections/individual/index.php?occid=4074852,4074852,No image
https://cch2.org/portal/collections/individual/index.php?occid=4075140,4075140,No image
https://cch2.org/portal/collections/individual/index.php?occid=4076029,4076029,No image
https://cch2.org/portal/collections/individual/index.php?occid=4078612,4078612,No image
https://cch2.org/portal/collections/individual/index.php?occid=4083202,4083202,No image
https://cch2.org/portal/collections/individual/index.php?occid=4083924,4083924,No image
https://cch2.org/portal/collections/individual/index.php?occid=4084012,4084012,No image
https://cch2.org/portal/collections/individual/index.php?occid=4084283,4084283,No image
