Reason,gbifID,accessRights,bibliographicCitation,language,license,modified,publisher,references,rightsHolder,type,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,caste,behavior,vitality,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialEntityID,materialEntityRemarks,verbatimLabel,materialSampleID,eventID,parentEventID,eventType,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,subtribe,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceFromCentroidInMeters,issue,taxonomicIssue,nonTaxonomicIssue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,isInvasive,repatriated,relativeOrganismQuantity,projectId,isSequenced,gbifRegion,publishedByGbifRegion,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,3766309290,,,,CC_BY_NC_4_0,2025-06-28T00:20:08Z,,,https://sernecportal.org/portal/collections/individual/index.php?occid=29297847,,,,fb00bc20-ee65-444c-b92f-2b36048d009b,,AUA,,,,PRESERVED_SPECIMEN,,,,3517770b-f915-11e2-9428-c94601350785,,6629,"Diamond, Jr., Alvin R.",,,,,,,flower,,,,,,,,PRESENT,,,,,,,51158,,,,,,,,,,,,,,,,12/13/1989,,347,347,1989,12,13,12/13/1989,FULL SUN. DRY SANDY RED CLAY SOIL ON ROADSIDE. COMMON.,,,,,,,,,,,,,,US,Alabama,Coffee,,"COFFEE COUNTY HWY. 21, .4 MILE SOUTH OF THE PIKE COUNTY LINE.",,,,,,,,,31.613659,-86.118928,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,1357f50f-ae5c-4813-a8b2-5be49c604857,US,2026-01-06T18:53:51.398Z,,,,,,TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY,,,,FALSE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-06T18:53:51.398Z,2026-01-06T18:52:44.037Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,3766309285,,,,CC_BY_NC_4_0,2025-06-28T00:20:08Z,,,https://sernecportal.org/portal/collections/individual/index.php?occid=29297848,,,,fb00bc20-ee65-444c-b92f-2b36048d009b,,AUA,,,,PRESERVED_SPECIMEN,,,,348e52ac-f915-11e2-9428-c94601350785,,3117,"Diamond, Jr., Alvin R.",,,,,,,flower & fruit,,,,,,,,PRESENT,,,,,,,45558,,,,,,,,,,,,,,,,4/17/1987,,107,107,1987,4,17,4/17/1987,COMMON ALONG THE ROAD IN FULL SUN.,,,,,,,,,,,,,,US,Alabama,Crenshaw,,"CRENSHAW COUNTY HWY. 57, 2.4 MILES N OF CRENSHAW COUNTY HWY. 6 AT A SMALL CREEK.",,,,,,,,,31.70943,-86.20151,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,1357f50f-ae5c-4813-a8b2-5be49c604857,US,2026-01-06T18:53:51.394Z,,,,,,TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY,,,,FALSE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-06T18:53:51.394Z,2026-01-06T18:52:44.037Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,3766309284,,,,CC_BY_NC_4_0,2025-06-28T00:20:08Z,,,https://sernecportal.org/portal/collections/individual/index.php?occid=29297849,,,,fb00bc20-ee65-444c-b92f-2b36048d009b,,AUA,,,,PRESERVED_SPECIMEN,,,,3488aba3-f915-11e2-9428-c94601350785,,3053,"Diamond, Jr., Alvin R.",,,,,,,flower & fruit,,,,,,,,PRESENT,,,,,,,45259,,,,,,,,,,,,,,,,3/22/1987,,81,81,1987,3,22,3/22/1987,COMMON WEED ALONG THE ROAD IN SANDY SOIL IN FULL SUN.,,,,,,,,,,,,,,US,Alabama,Baldwin,,"ALABAMA HWY. 59, .7 MILE SOUTH OF LOXLEY.",,,,,,,,,32.63735,-85.27831,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,1357f50f-ae5c-4813-a8b2-5be49c604857,US,2026-01-06T18:53:51.556Z,,,,,,TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY,,,,FALSE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-06T18:53:51.556Z,2026-01-06T18:52:44.037Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,3766309203,,,,CC_BY_NC_4_0,2025-06-28T00:20:08Z,,,https://sernecportal.org/portal/collections/individual/index.php?occid=29297850,,,,fb00bc20-ee65-444c-b92f-2b36048d009b,,AUA,,,,PRESERVED_SPECIMEN,,,,34e49b86-f915-11e2-9428-c94601350785,,4253A,"Diamond, Jr., Alvin R.",,,,,,,flower & fruit,,,,,,,,PRESENT,,,,,,,48610,,,,,,,,,,,,,,,,3/18/1988,,78,78,1988,3,18,3/18/1988,"ROADSIDE IN FULL SUN, SANDY SOIL. EAST SIDE OF CREEK, SOUTH SIDE OF THE ROAD. UNCOMMON.",,,,,,,,,,,,,,US,Alabama,Covington,,U.S. HWY. 84 AT LIGHTWOOD KNOT CREEK ON THE EAST SIDE OF BABBIE.,,,,,,,,,31.27077,-86.31325,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,1357f50f-ae5c-4813-a8b2-5be49c604857,US,2026-01-06T18:53:51.369Z,,,,,,TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY,,,,FALSE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-06T18:53:51.369Z,2026-01-06T18:52:44.037Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,3766309202,,,,CC_BY_NC_4_0,2025-06-28T00:20:08Z,,,https://sernecportal.org/portal/collections/individual/index.php?occid=29297851,,,,fb00bc20-ee65-444c-b92f-2b36048d009b,,AUA,,,,PRESERVED_SPECIMEN,,,,3552e2a3-f915-11e2-9428-c94601350785,,8284,"Diamond, Jr., Alvin R.",,,,,,,flower & fruit,,,,,,,,PRESENT,,,,,,,52488,,,,,,,,,,,,,,,,5/24/1992,,145,145,1992,5,24,5/24/1992,"ROADSIDE. FULL SUN, DRY SANDY DISTURBED SOIL. UNCOMMON.",,,,,,,,,,,,,,US,Alabama,Coffee,,INTERSECTION OF ALABAMA HWY. 27 AND UN-NUMBERED DIRT ROAD SOUTH. FORT RUCKER.,,,,,,,,,31.38613,-85.80831,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,1357f50f-ae5c-4813-a8b2-5be49c604857,US,2026-01-06T18:53:51.367Z,,,,,,TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY,,,,FALSE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-06T18:53:51.367Z,2026-01-06T18:52:44.037Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,3766309199,,,,CC_BY_NC_4_0,2025-06-28T00:20:08Z,,,https://sernecportal.org/portal/collections/individual/index.php?occid=29297852,,,,fb00bc20-ee65-444c-b92f-2b36048d009b,,AUA,,,,PRESERVED_SPECIMEN,,,,34f0c140-f915-11e2-9428-c94601350785,,4643,"Diamond, Jr., Alvin R.",,,,,,,flower & fruit,,,,,,,,PRESENT,,,,,,,49224,,,,,,,,,,,,,,,,5/3/1988,,124,124,1988,5,3,5/3/1988,"ROADSIDE. FULL SUN, DRY SANDY SOIL. COMMON.",,,,,,,,,,,,,,US,Alabama,Pike,,UNNUMBERED COUNTY ROAD OFF OF PIKE CO. HWY. 5 JUST EAST OF PATSALIGA CREEK AND THE CRENSHAW COUNTY LINE.,,,,,,,,,32.59968,-85.80814,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,1357f50f-ae5c-4813-a8b2-5be49c604857,US,2026-01-06T18:53:51.362Z,,,,,,TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY,,,,FALSE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-06T18:53:51.362Z,2026-01-06T18:52:44.037Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,3766309198,,,,CC_BY_NC_4_0,2025-06-28T00:20:08Z,,,https://sernecportal.org/portal/collections/individual/index.php?occid=29297853,,,,fb00bc20-ee65-444c-b92f-2b36048d009b,,AUA,,,,PRESERVED_SPECIMEN,,,,34e83b34-f915-11e2-9428-c94601350785,,4522,"Diamond, Jr., Alvin R.",,,,,,,flower & fruit,,,,,,,,PRESENT,,,,,,,48812,,,,,,,,,,,,,,,,4/22/1988,,113,113,1988,4,22,4/22/1988,"ROADSIDE. FULL SUN, SANDY CLAY SOIL. COMMON.",,,,,,,,,,,,,,US,Alabama,Crenshaw,,"CRENSHAW COUNTY HWY. 57, .1 MILE SOUTH OF CRENSHAW COUNTY HWY. 6.",,,,,,,,,32.59968,-85.80814,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,1357f50f-ae5c-4813-a8b2-5be49c604857,US,2026-01-06T18:53:51.363Z,,,,,,TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY,,,,FALSE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-06T18:53:51.363Z,2026-01-06T18:52:44.037Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,3766309200,,,,CC_BY_NC_4_0,2025-06-28T00:20:08Z,,,https://sernecportal.org/portal/collections/individual/index.php?occid=29297855,,,,fb00bc20-ee65-444c-b92f-2b36048d009b,,AUA,,,,PRESERVED_SPECIMEN,,,,34e9302f-f915-11e2-9428-c94601350785,,4386,"Diamond, Jr., Alvin R.",,,,,,,flower & fruit,,,,,,,,PRESENT,,,,,,,48849,,,,,,,,,,,,,,,,4/3/1988,,94,94,1988,4,3,4/3/1988,"UNCOMMON ALONG THE ROAD. FULL SUN, RED CLAY AND SANDY SOIL.",,,,,,,,,,,,,,US,Alabama,Butler,,BUTLER COUNTY HWY. 8 JUST EAST OF PERSIMMON CREEK.,,,,,,,,,31.55555,-86.78801,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,1357f50f-ae5c-4813-a8b2-5be49c604857,US,2026-01-06T18:53:51.364Z,,,,,,TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY,,,,FALSE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-06T18:53:51.364Z,2026-01-06T18:52:44.037Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,3766309221,,,,CC_BY_NC_4_0,2025-06-28T00:20:08Z,,,https://sernecportal.org/portal/collections/individual/index.php?occid=29297856,,,,fb00bc20-ee65-444c-b92f-2b36048d009b,,AUA,,,,PRESERVED_SPECIMEN,,,,35569e1e-f915-11e2-9428-c94601350785,,5670,"Diamond, Jr., Alvin R.",,,,,,,flower & fruit,,,,,,,,PRESENT,,,,,,,52662,,,,,,,,,,,,,,,,2/9/1989,,40,40,1989,2,9,2/9/1989,VACANT LOT ON THE SOUTH SIDE OF THE SCHOOL. SANDY SOIL. FULL SUN.,,,,,,,,,,,,,,US,Alabama,Houston,,HONEYSUCKLE ROAD AT HONEYSUCKLE MIDDLE SCHOOL DOTHAN.,,,,,,,,,31.20515,-85.43505,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,1357f50f-ae5c-4813-a8b2-5be49c604857,US,2026-01-06T18:53:51.372Z,,,,,,TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY,,,,FALSE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-06T18:53:51.372Z,2026-01-06T18:52:44.037Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,3766309225,,,,CC_BY_NC_4_0,2025-06-28T00:20:08Z,,,https://sernecportal.org/portal/collections/individual/index.php?occid=29297857,,,,fb00bc20-ee65-444c-b92f-2b36048d009b,,AUA,,,,PRESERVED_SPECIMEN,,,,35042f78-f915-11e2-9428-c94601350785,,6072,"Diamond, Jr., Alvin R.",,,,,,,fruit,,,,,,,,PRESENT,,,,,,,50132,,,,,,,,,,,,,,,,7/23/1989,,204,204,1989,7,23,7/23/1989,OLD FIELD. RED CLAY SOIL. FULL SUN. COMMON.,,,,,,,,,,,,,,US,Alabama,Dale,,DALE COUNTY HWY. 66 AT COFFEE COUNTY HWY. 66/ COUNTY LINE.,,,,,,,,,31.20515,-85.43505,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,1357f50f-ae5c-4813-a8b2-5be49c604857,US,2026-01-06T18:53:51.372Z,,,,,,TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY,,,,FALSE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-06T18:53:51.372Z,2026-01-06T18:52:44.037Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,3766309233,,,,CC_BY_NC_4_0,2025-06-28T00:20:08Z,,,https://sernecportal.org/portal/collections/individual/index.php?occid=29297860,,,,fb00bc20-ee65-444c-b92f-2b36048d009b,,AUA,,,,PRESERVED_SPECIMEN,,,,aba41d89-c37a-4256-a42d-03e9d5661bcc,,4067,"England, J. Kevin",,,,,,,fruit,,,,,,,,PRESENT,,,,,,,72143,,,,,,,,,,,,,,,,1/19/2013,,19,19,2013,1,19,1/19/2013,"DISTURBED, DRY UPLAND MIXED WOODS.",,,,,,,,,,NORTH_AMERICA,,,,US,Alabama,Marengo,,5.03 AIR MI. SE OF MYRTLEWOOD. ALONG E SIDE OF CO. RD. 75 APPROX. 2.37 NE OF JCT. WITH CO RD. 17.,,,,,,,,,32.211065,-87.877343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,1357f50f-ae5c-4813-a8b2-5be49c604857,US,2026-01-06T18:53:51.376Z,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY,,,,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-06T18:53:51.376Z,2026-01-06T18:52:44.037Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.1_1,Alabama,USA.1.46_1,Marengo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,3766309237,,,,CC_BY_NC_4_0,2025-06-28T00:20:08Z,,,https://sernecportal.org/portal/collections/individual/index.php?occid=29297861,,,,fb00bc20-ee65-444c-b92f-2b36048d009b,,AUA,,,,PRESERVED_SPECIMEN,,,,336a3701-f915-11e2-9428-c94601350785,,,"Fleischer, S. J.",,,,,,,flower & fruit,,,,,,,,PRESENT,,,,,,,39619,,,,,,,,,,,,,,,,4/12/1984,,103,103,1984,4,12,4/12/1984,MCQUEEN-SMITH FARM.,,,,,,,,,,,,,,US,Alabama,Autauga,,ALONG ALABAMA RIVER. AT END OF PAVED PORTION OF COUNTY ROAD 29.,,,,,,,,,32.36254,-86.54149,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,1357f50f-ae5c-4813-a8b2-5be49c604857,US,2026-01-06T18:53:51.378Z,,,,,,TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY,,,,FALSE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-06T18:53:51.378Z,2026-01-06T18:52:44.037Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not fit for image scoring,3766309234,,,,CC_BY_NC_4_0,2025-06-28T00:20:08Z,,,https://sernecportal.org/portal/collections/individual/index.php?occid=29297862,,,,fb00bc20-ee65-444c-b92f-2b36048d009b,,AUA,,,,PRESERVED_SPECIMEN,,,,368e58c6-f915-11e2-9428-c94601350785,,(2001-42),"Gil, Glenda; & C. J. Hansen",,,,,,,,,,,,,,,PRESENT,,,,,,,61435,,,,,,,,,,,,,,,,10/23/2001,,296,296,2001,10,23,10/23/2001,"ROADSIDE, FULL SUN, WATER SITE, WET SWAMPY SOIL, BY PUMP STATION GROWING WITH, AGALINIS, BACCHARIS, EUPATORIUM, TAXODIUM, CEPHALANTHUS, OENOTHERA, TEUCRIUM, AND SOLIDAGO.",,,,,,,,,,NORTH_AMERICA,,,,US,Alabama,Barbour,,"EUFAULA NATIONAL WILDLIFE REFUGE, 1.9MI SE OF INTERSTATE HWY 165, AND 0.4MI NE OF U.S. HWY 431.",,190 ft.,,,,,,,31.97636,-85.077553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,,ACCEPTED,,,1357f50f-ae5c-4813-a8b2-5be49c604857,US,2026-01-06T18:53:51.377Z,58,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY,,,,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,DWC_ARCHIVE,2026-01-06T18:53:51.377Z,2026-01-06T18:52:44.037Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.1_1,Alabama,USA.1.3_1,Barbour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
