gbifID,catalogNumber,institutionCode,cch2_occid,occurrenceID,locality,eventDate,scientificName,otherCatalogNumbers,image_source,source_dir,original_filename,original_stem,scoring_filename,id_check_status,id_check_notes,source_priority,selected_for_scoring
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3476616.jpg,3476616,3476616.jpg,unmatched,no unified occurrence row for CCH2 occid=3476616,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3477178.jpg,3477178,3477178.jpg,unmatched,no unified occurrence row for CCH2 occid=3477178,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3489238.jpg,3489238,3489238.jpg,unmatched,no unified occurrence row for CCH2 occid=3489238,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3489775.jpg,3489775,3489775.jpg,unmatched,no unified occurrence row for CCH2 occid=3489775,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3492727.jpg,3492727,3492727.jpg,unmatched,no unified occurrence row for CCH2 occid=3492727,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3499442.jpg,3499442,3499442.jpg,unmatched,no unified occurrence row for CCH2 occid=3499442,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3503027.jpg,3503027,3503027.jpg,unmatched,no unified occurrence row for CCH2 occid=3503027,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3507606.jpg,3507606,3507606.jpg,unmatched,no unified occurrence row for CCH2 occid=3507606,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3511149.jpg,3511149,3511149.jpg,unmatched,no unified occurrence row for CCH2 occid=3511149,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3514143.jpg,3514143,3514143.jpg,unmatched,no unified occurrence row for CCH2 occid=3514143,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3523645.jpg,3523645,3523645.jpg,unmatched,no unified occurrence row for CCH2 occid=3523645,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3525429.jpg,3525429,3525429.jpg,unmatched,no unified occurrence row for CCH2 occid=3525429,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3534929.jpg,3534929,3534929.jpg,unmatched,no unified occurrence row for CCH2 occid=3534929,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3539396.jpg,3539396,3539396.jpg,unmatched,no unified occurrence row for CCH2 occid=3539396,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3542265.jpg,3542265,3542265.jpg,unmatched,no unified occurrence row for CCH2 occid=3542265,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3544281.jpg,3544281,3544281.jpg,unmatched,no unified occurrence row for CCH2 occid=3544281,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3544438.jpg,3544438,3544438.jpg,unmatched,no unified occurrence row for CCH2 occid=3544438,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3550026.jpg,3550026,3550026.jpg,unmatched,no unified occurrence row for CCH2 occid=3550026,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3562157.jpg,3562157,3562157.jpg,unmatched,no unified occurrence row for CCH2 occid=3562157,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,4001616.jpg,4001616,4001616.jpg,unmatched,no unified occurrence row for CCH2 occid=4001616,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,4011670.jpg,4011670,4011670.jpg,unmatched,no unified occurrence row for CCH2 occid=4011670,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,4020835.jpg,4020835,4020835.jpg,unmatched,no unified occurrence row for CCH2 occid=4020835,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,4821653.jpg,4821653,4821653.jpg,unmatched,no unified occurrence row for CCH2 occid=4821653,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,4848896.jpg,4848896,4848896.jpg,unmatched,no unified occurrence row for CCH2 occid=4848896,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,4929046.jpg,4929046,4929046.jpg,unmatched,no unified occurrence row for CCH2 occid=4929046,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,5001849.jpg,5001849,5001849.jpg,unmatched,no unified occurrence row for CCH2 occid=5001849,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,5509705.jpg,5509705,5509705.jpg,unmatched,no unified occurrence row for CCH2 occid=5509705,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,5840581.jpg,5840581,5840581.jpg,unmatched,no unified occurrence row for CCH2 occid=5840581,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,5980225.jpg,5980225,5980225.jpg,unmatched,no unified occurrence row for CCH2 occid=5980225,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,6040951.jpg,6040951,6040951.jpg,unmatched,no unified occurrence row for CCH2 occid=6040951,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2275918.jpg,2275918,SML_2275918.jpg,unmatched,no unified occurrence row for CCH2 occid=2275918,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2278606.jpg,2278606,SML_2278606.jpg,unmatched,no unified occurrence row for CCH2 occid=2278606,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2282381.jpg,2282381,SML_2282381.jpg,unmatched,no unified occurrence row for CCH2 occid=2282381,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2283873.jpg,2283873,SML_2283873.jpg,unmatched,no unified occurrence row for CCH2 occid=2283873,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2285742.jpg,2285742,SML_2285742.jpg,unmatched,no unified occurrence row for CCH2 occid=2285742,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2286003.jpg,2286003,SML_2286003.jpg,unmatched,no unified occurrence row for CCH2 occid=2286003,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2287008.jpg,2287008,SML_2287008.jpg,unmatched,no unified occurrence row for CCH2 occid=2287008,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2287409.jpg,2287409,SML_2287409.jpg,unmatched,no unified occurrence row for CCH2 occid=2287409,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2288810.jpg,2288810,SML_2288810.jpg,unmatched,no unified occurrence row for CCH2 occid=2288810,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2289763.jpg,2289763,SML_2289763.jpg,unmatched,no unified occurrence row for CCH2 occid=2289763,3,FALSE
