gbifID,catalogNumber,institutionCode,scientificName,image_url,dest_path,image_source
6391619013,QFA0225367,QFA,Raphanus sativus L.,https://media.qfa.herbier.ulaval.ca/QFA0225367.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6391619013.jpg,gbif_fresh_download
6391612508,QFA0281227,QFA,Raphanus raphanistrum L.,https://media.qfa.herbier.ulaval.ca/QFA0281227.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6391612508.jpg,gbif_fresh_download
6391592544,QFA0047387,QFA,Raphanus raphanistrum L.,https://media.qfa.herbier.ulaval.ca/QFA0047387.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6391592544.jpg,gbif_fresh_download
6326248462,1722470,CAS,Raphanus L.,https://ibss-images.calacademy.org/static/botany/originals/95/49/954901d3-6a8b-4b73-a6a9-e0cc50f5ae1e.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6326248462.jpg,gbif_fresh_download
6326199356,1722469,CAS,Raphanus L.,https://ibss-images.calacademy.org/static/botany/originals/47/55/47551941-674c-4e1c-9797-180c46d645cf.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6326199356.jpg,gbif_fresh_download
6326177492,1722471,CAS,Raphanus L.,https://ibss-images.calacademy.org/static/botany/originals/0b/95/0b9525cf-0952-4adc-b344-e6e6218d5a54.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6326177492.jpg,gbif_fresh_download
6326105302,1722472,CAS,Raphanus L.,https://ibss-images.calacademy.org/static/botany/originals/29/cd/29cd58bd-b0a2-4d11-8659-c93504c38642.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6326105302.jpg,gbif_fresh_download
6289062386,1419821,CAS,Raphanus sativus L.,https://ibss-images.calacademy.org/static/botany/originals/ac/7e/ac7eb1c7-fcac-4f38-afc4-65942780fd3b.JPG,/Volumes/Radishes/GBIF_2026_update_scoring_images/6289062386.jpg,gbif_fresh_download
6250119318,105207902,MO,Raphanus raphanistrum L.,https://images.mobot.org/RISScanning02/detailImages/RISScanning02/103041000/8FF73EE4-1DDB-4E2F-9678-E23D47F97875.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6250119318.jpg,gbif_fresh_download
6250112326,105189084,MO,Raphanus raphanistrum L.,https://images.mobot.org/RISScanning02/detailImages/RISScanning02/103041000/A9420AB4-394B-41A8-A55D-1EB0785BCCFA.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6250112326.jpg,gbif_fresh_download
6250076393,105196702,MO,Raphanus raphanistrum L.,https://images.mobot.org/RISScanning02/detailImages/RISScanning02/103041000/63247E57-7E06-4427-A963-3F21B0056AC0.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/6250076393.jpg,gbif_fresh_download
