gbifID,image_source,original_filename,scoring_filename,from_path,to_path,copied,copy_note
2564271619,cch2_original,2866858.jpg,2564271619.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/2866858.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2564271619.jpg,TRUE,copied
2270252713,cch2_original,292926.jpg,2270252713.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/292926.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270252713.jpg,TRUE,copied
2270253036,cch2_original,293450.jpg,2270253036.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/293450.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270253036.jpg,TRUE,copied
3503203420,cch2_original,2960494.jpg,3503203420.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/2960494.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/3503203420.jpg,TRUE,copied
3503203428,cch2_original,2960497.jpg,3503203428.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/2960497.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/3503203428.jpg,TRUE,copied
3503203427,cch2_original,2960498.jpg,3503203427.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/2960498.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/3503203427.jpg,TRUE,copied
3503203425,cch2_original,2960499.jpg,3503203425.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/2960499.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/3503203425.jpg,TRUE,copied
3503202669,cch2_original,2960501.jpg,3503202669.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/2960501.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/3503202669.jpg,TRUE,copied
3503202664,cch2_original,2960503.jpg,3503202664.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/2960503.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/3503202664.jpg,TRUE,copied
3503202678,cch2_original,2960568.jpg,3503202678.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/2960568.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/3503202678.jpg,TRUE,copied
2421781413,cch2_original,2963303.jpg,2421781413.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/2963303.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2421781413.jpg,TRUE,copied
2270265580,cch2_original,304535.jpg,2270265580.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/304535.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270265580.jpg,TRUE,copied
2270264962,cch2_original,304537.jpg,2270264962.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/304537.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270264962.jpg,TRUE,copied
2270264408,cch2_original,304540.jpg,2270264408.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/304540.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270264408.jpg,TRUE,copied
2270264370,cch2_original,304543.jpg,2270264370.jpg,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images/304543.jpg,/Volumes/Radishes/GBIF_2026_update_scoring_images/2270264370.jpg,TRUE,copied
